"Americké psycho";"je to nádherné zvíře . "" "" To je ,";"děkuju";", "" řekne chlubivě . "" A stál mě spoustu"
"Americké psycho";""" a vrávoravě odchází . "" Ne . Já vám";"děkuji";", "" zavolám na něj a sedám si naproti Bethany"
"Kukaččí vejce; Odrodilec";"- notělý druhému , "" a já ti za to";"děkuju";". Potřebovals den volna . Naneštěstí se práce jen zpomalila"
"Kukaččí vejce; Odrodilec";", a doufejme , že se vrátí . Mnohokrát vám";"děkuju";". "" Oba Ceremyoni se pak obrátili a vzlétli ."
"Cold Harbour";"čest své zemi , pane . Jako váš prezident vám";"děkuji";". Ta záležitost v Tulugu , to bylo něco ."
"Cold Harbour";"ze sedadla . "" Kávu ? "" "" Ne ,";"děkuji";". "" Munro si upravil polštářek za hlavou a přitáhl"
"Cold Harbour";"Vezmete si topinku nebo rohlík ? "" "" Ne ,";"děkuji";". Nemám hlad . Ještě jeden šálek kávy by byl"
"Cold Harbour";". "" Někdy cigareta uleví . "" "" Ne ,";"děkuji";". "" Jednu si zapálil a trochu stáhl okno ."
"Cold Harbour";"stůl cigarety : "" Kouříte ? "" "" Ne ,";"děkuji";", nekouřím . "" "" Vaše sestra kouřila . Jednu"
"Cold Harbour";"řekla . "" Já mám svou práci a pěkně vám";"děkuji";", brigadýre . Starám se o záchranu životů jak umím"
"Cold Harbour";"se vkradl dovnitř a Genevieve ho následovala . "" Mockrát";"děkuji";", "" řekla Genevieve . "" Potěšení je na mé"
"Cold Harbour";". "" Nic nepotřebuji , "" řekla , "" a";"děkuji";"vám , René . "" Obrátila se a následovala Maxe"
"Cold Harbour";"před večeří budete přát koupel . "" "" Ano ,";"děkuji";"vám . "" Jejím jemným tónem byla Maresa zmatena a"
"Cold Harbour";"v jídelně . Přijdete také ? "" "" Ne ,";"děkuji";", myslím , že ji dnes ráno mám na podnose"
"Cold Harbour";". "" Něco k pití ? "" "" Ne ,";"děkuji";". Jen si zapálím , pokud ti to nebude vadit"
"Cold Harbour";"mléka jsou vedle . "" "" To je skvělé ,";"děkuji";". "" Šel do kuchyně . Julie prohrábla oheň a"
"Cold Harbour";"vás tam hodit ? "" "" Ne , pane ,";"děkuji";". Půjdu pěšky . Chci na vzduch . "" Odešli"
"Cold Harbour";"dobře , slečno ? "" "" Jsem v pořádku ,";"děkuji";", "" odpověděla . Otočila se a uviděla Craiga Osbourna"
"Mládí v hajzlu 4";"placené za celý den . "" "" Tak to moc";"děkuju";"... slečno Carlotto ... A vám hodně štěstí ... slečno"
"Mládí v hajzlu 4";". "" "" Dík , Nicku . A taky ti";"děkuji";"za tu pochvalnou erekci . Kéž by Paulo ke mně"
"Mládí v hajzlu 4";"žes okrádala stařenky . "" "" To ti fakt moc";"děkuju";", Franku . "" "" Nevěděl sem , co říct"
"Mládí v hajzlu 4";"její třpytivě fialovej pohled značně potemněl . "" Jé ,";"děkuju";", tos nemusel , Ricku , "" poměrně rychle se"
"Mládí v hajzlu 4";"smečka divoký pes . "" "" Aha . Moc vám";"děkuju";"za informace . "" O deset minut pozdějc sem už"
"Harry Potter a ohnivý pohár";"a znovu si přečetl hotový dopis . Milý Siriusi ,";"děkuji";"ti za tvé poslední psaní . Ten pták byt obrovský"
"Harry Potter a ohnivý pohár";"a to ostatní ? "" "" Ano , a moc";"děkuji";", "" řekl Harry . "" Ty dorty mi zachránily"
"Harry Potter a ohnivý pohár";"a poklepal do trávy vedle sebe . "" Ne ,";"děkuji";", Ludo , "" odmítl pan Skrk a z jeho"
"Harry Potter a ohnivý pohár";"jistým překvapením se na něj podíval . "" Ano -";"děkuji";"vám , Weatherby . "" Fred a George vyprskli do"
"Harry Potter a ohnivý pohár";"řekl Ron a zašklebil se . Juj , Harry ,";"děkuju";"ti ! "" přidala se Hermiona . "" A já"
"Harry Potter a ohnivý pohár";"stál ... Ne , myslím , že to neudělám ,";"děkuji";"pěkně , namítl ten druhý hlas a zněl o trochu"
"Harry Potter a ohnivý pohár";"pořád máte ? "" "" Vzkvétáme , profesore Karkarove ,";"děkuji";"za optání , "" odpověděl Brumbál . Karkarov měl medový"
"Harry Potter a ohnivý pohár";"- už jsem se rozhodl , jak to udělám ,";"děkuji";". "" "" Nikdo by se to nedozvěděl , Harry"
"Harry Potter a ohnivý pohár";"od stolu . "" Děkuji vám , Harry Pottere ,";"děkuji";"vám , "" Dobby ještě sotva popadal dech a mnul"
"Harry Potter a ohnivý pohár";"Ron na chvíli ztratili řeč . "" To ti opravdu";"děkuju";", Ginny , "" ucedil Ron kysele . "" Copak"
"Harry Potter a ohnivý pohár";"ní Zlatonka . "" Ty jsou opravdu ... opravdu ...";"děkuji";"ti , Dobby , "" řekl Har - ry a"
"Harry Potter a ohnivý pohár";"jak , všecko v pořádku ? "" "" Hmm ,";"děkuji";", "" přisvědčil Harry . "" Mohl bych si s"
"Harry Potter a ohnivý pohár";"ti nabídnu ... "" "" Hmm , tak vám moc";"děkuji";", "" řekl Harry , "" ale myslím , že"
"Harry Potter a ohnivý pohár";"rozčarovaně pohlédl na Harryho . "" Ne , chlapci ,";"děkuji";". Fred a George se tvářili stejně rozčarovaně jako Pytloun"
